"idade_local" "biome"
"2535" NA "Temperate"
"2536" NA "Temperate"
"2537" NA "Temperate"
"2538" NA "Temperate"
"2539" NA "Temperate"
"2540" NA "Temperate"
"2541" NA "Temperate"
"2542" NA "Temperate"
"2543" NA "Temperate"
"2544" NA "Temperate"
"2545" NA "Temperate"
"2546" NA "Temperate"
"2547" NA "Temperate"
"2548" NA "Temperate"
"2549" NA "Temperate"
"2550" NA "Temperate"
"2551" NA "Temperate"
"2552" NA "Temperate"
"2553" NA "Temperate"
"2554" NA "Temperate"
"2555" NA "Temperate"
"2556" NA "Temperate"
"2557" NA "Temperate"
"2558" NA "Temperate"
"2559" NA "Temperate"
"2560" NA "Temperate"
"2561" NA "Temperate"
"2562" NA "Temperate"
"2563" NA "Temperate"
"2564" 1.46759655678 "Temperate"
"2565" NA "Temperate"
"2566" NA "Temperate"
"2567" NA "Temperate"
"2568" NA "Temperate"
"2569" 1.08691843451334 "Temperate"
"2570" 1.08691843451334 "Temperate"
"2571" 1.08691843451334 "Temperate"
"2572" 1.08691843451334 "Temperate"
"2573" 1.08691843451334 "Temperate"
"2574" 1.08691843451334 "Temperate"
"2575" 1.08691843451334 "Temperate"
"2576" 1.08691843451334 "Temperate"
"2577" 1.07216965515 "Temperate"
"2578" 1.07216965515 "Temperate"
"2579" 1.07216965515 "Temperate"
"2580" 1.07216965515 "Temperate"
"2581" 1.07216965515 "Temperate"
"2582" 1.07216965515 "Temperate"
"2583" 1.07216965515 "Temperate"
"2584" 1.07216965515 "Temperate"
"2585" 1.07216965515 "Temperate"
"2586" 1.07216965515 "Temperate"
"2587" 1.07216965515 "Temperate"
"2588" 1.07216965515 "Temperate"
"2589" 1.07216965515 "Temperate"
"2590" 1.07216965515 "Temperate"
"2591" 1.07216965515 "Temperate"
"2592" NA "Temperate"
"2593" NA "Temperate"
"2594" NA "Temperate"
"2595" NA "Temperate"
"2596" NA "Temperate"
"2597" NA "Temperate"
"2598" NA "Temperate"
"2599" NA "Temperate"
"2600" NA "Temperate"
"2601" NA "Temperate"
"2602" NA "Temperate"
"2603" NA "Temperate"
"2604" NA "Temperate"
"2605" NA "Temperate"
